,Unnamed: 0,Year,GDP growth (annual %),Gross capital formation (% of GDP),Population growth (annual %),"Birth rate, crude (per 1,000 people)",Broad money growth (annual %),Final consumption expenditure (annual % growth),General government final consumption expenditure (annual % growth),Gross capital formation (annual % growth),Households and NPISHs Final consumption expenditure (annual % growth),"Unemployment, total (% of total labor force) (national estimate)"
0,0,1969,14.5412349898647,29.9435768990804,2.26343403916519,30.663,60.9847325104761,10.6932488101719,10.640799332022,29.908118035422202,10.700325149933901,4.8600001335144
1,1,1970,9.99740656521107,26.338199513382,2.1841739468946697,31.2,27.4228641907322,10.161538878553099,7.27957317104054,0.0586674544734933,10.557300280601302,4.51000022888184
2,2,1971,10.4546932742055,25.5585005679667,1.9713236575204798,31.2,20.844481176945,9.33043406387293,8.610547188518009,15.172870025416902,9.42696935163427,4.57000017166138
3,3,1972,7.1507147770554,21.404760786891398,1.87599936966995,28.4,33.8150278361538,5.7884575123869,8.13482403672276,-13.056700968596198,5.4713552586912595,4.59000015258789
4,4,1973,14.8275543365582,25.8728575315136,1.7682927120788,28.3,36.4156287496918,8.08995237194739,2.28772883318192,32.0982760658976,8.92729451960032,4.03999996185303
5,5,1974,9.460873462000311,32.533407784362694,1.712705419969,26.6,24.0366520354079,7.32385340697566,7.288575886313,31.4930826086041,7.328336537664501,4.150000095367431
6,6,1975,7.863511656400259,28.9592674034517,1.68200005474822,24.8,28.2316303684103,5.7144454774896,6.96046505664856,-1.49372044887683,5.539527479016121,4.17999982833862
7,7,1976,13.115158840415198,27.555990342186302,1.59655859407233,22.2,33.4846556042679,7.18271372065252,0.560956983024028,23.0060801144492,8.254930496785361,3.8076000213623
8,8,1977,12.277661224117502,30.630713325378103,1.5590393860320801,22.7,39.7057634406556,5.70116080853434,7.468013445080531,31.486449873452802,5.40164528738015,3.8057000637054403
9,9,1978,10.7744913710061,34.532491977412896,1.5191967189167,20.3,34.9710264336979,7.924074112174821,5.5823150636313,30.8730515719351,8.340376142926461,3.16729998588562
10,10,1979,8.62563238878273,38.1325867736018,1.5168748677583501,23,24.584449015782,8.252856083874759,6.174666250480209,18.0997603723445,8.60403653466801,3.81200003623962
11,11,1980,-1.70127653007586,34.455667789001104,1.5584626781958202,22.6,26.8946449831137,1.60424112993844,11.7428065027688,-16.1086570211991,-0.0929274067275259,5.19600009918213
12,12,1981,7.18051083923589,32.445665396156,1.56020399239876,22.4,25.024951234398,5.447428277349809,6.59300072350479,2.5822055725562203,5.225406770562911,4.50699996948242
13,13,1982,8.26502126461675,32.2086720390583,1.54546853308404,21.6,27.0114139385714,6.5232646352256705,2.14092462502373,10.224685774309199,7.38352075773705,4.36299991607666
14,14,1983,13.2420634291482,32.7824948303342,1.47421882108841,19.3,15.242662352669301,8.16582936940094,3.62864531659157,14.957201964904598,9.05276306966725,4.06799983978271
15,15,1984,10.4429111120963,32.2482904248378,1.23401831140412,16.7,7.7052924540928105,7.092261620627481,4.82401266373391,9.35792838569623,7.533649836035591,3.80100011825562
